"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026 -Lookalike",male,25-34,"Live | 10 June 2026",15.46,711,790,6,6,2,1,17179,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026 -Lookalike",male,35-44,"Live | 10 June 2026",15.35,543,607,5,5,3,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,45-54,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",15.22447838,283,491,3,2,2,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,18-24,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",15.12966963,350,552,6,5,4,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,65+,"ผ่อนทอง 0% June 2026",15.02686479,863,1205,31,24,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",15.01185649,401,696,1,1,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,18-24,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",14.97656447,538,899,4,3,1,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",male,45-54,"Double Day 6.6 | 1-7June 2026",13.52049976,456,484,16,17,2,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,55-64,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",12.33036015,82,102,5,4,,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",male,55-64,"Double Day 6.6 | 1-7June 2026",12.20128799,218,280,10,10,2,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",female,55-64,"Double Day 6.6 | 1-7June 2026",12.20045097,174,266,17,12,11,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",male,25-34,"Mid Month  | 15-17June 2026",11.84553582,461,569,8,7,,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",female,65+,"Double Day 6.6 | 1-7June 2026",11.82124787,236,293,8,7,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,65+,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",10.67894162,316,534,7,3,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,55-64,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",10.51082062,258,389,,,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",10.38030319,137,233,5,4,2,,,2026-06-01,2026-06-17
